date_utc,asset,close_binance,close_kraken,close_coinbase
2025-03-06,BTC,89931.89,89916.8,89921.85
2025-03-07,BTC,86801.75,86762.3,86756.98
2025-03-08,BTC,86222.45,86164.1,86206.69
2025-03-09,BTC,80734.37,80684.0,80699.17
2025-03-10,BTC,78595.86,78558.8,78544.71
2025-03-11,BTC,82932.99,82900.0,82914.51
2025-03-12,BTC,83680.12,83673.4,83659.43
2025-03-13,BTC,81115.78,81112.3,81073.43
2025-03-14,BTC,83983.2,83997.6,83980.49
2025-03-15,BTC,84338.44,84332.9,84351.46
2025-03-16,BTC,82574.53,82599.9,82562.57
2025-03-17,BTC,84010.03,84015.2,84011.4
2025-03-18,BTC,82715.03,82705.4,82698.76
2025-03-19,BTC,86845.94,86879.5,86877.96
2025-03-20,BTC,84223.39,84178.6,84183.42
2025-03-21,BTC,84088.79,84034.3,84061.96
2025-03-22,BTC,83840.59,83800.0,83852.03
2025-03-23,BTC,86082.5,86076.5,86092.94
2025-03-24,BTC,87498.16,87505.3,87523.62
2025-03-25,BTC,87392.87,87458.1,87427.88
2025-03-26,BTC,86909.17,86899.0,86926.01
2025-03-27,BTC,87232.01,87209.9,87217.48
2025-03-28,BTC,84424.38,84373.9,84381.8
2025-03-29,BTC,82648.54,82613.8,82616.83
2025-03-30,BTC,82389.99,82325.4,82379.98
2025-03-31,BTC,82550.01,82523.0,82534.32
2025-04-01,BTC,85158.34,85201.1,85170.37
2025-04-02,BTC,82516.29,82508.1,82490.08
2025-04-03,BTC,83213.09,83132.9,83174.33
2025-04-04,BTC,83889.87,83840.8,83860.16
2025-04-05,BTC,83537.99,83508.9,83498.25
2025-04-06,BTC,78430.0,78363.4,78370.75
2025-04-07,BTC,79163.24,79130.1,79140.01
2025-04-08,BTC,76322.42,76276.5,76251.64
2025-04-09,BTC,82615.22,82556.3,82594.75
2025-04-10,BTC,79607.3,79552.1,79552.34
2025-04-11,BTC,83423.84,83420.1,83380.47
2025-04-12,BTC,85276.9,85284.1,85271.01
2025-04-13,BTC,83760.0,83719.0,83733.07
2025-04-14,BTC,84591.58,84530.7,84590.36
2025-04-15,BTC,83643.99,83633.5,83629.78
2025-04-16,BTC,84030.38,84023.8,84028.72
2025-04-17,BTC,84947.91,84910.1,84961.97
2025-04-18,BTC,84474.69,84472.5,84466.47
2025-04-19,BTC,85077.01,85121.3,85074.99
2025-04-20,BTC,85179.24,85150.1,85177.34
2025-04-21,BTC,87516.23,87500.6,87522.07
2025-04-22,BTC,93442.99,93472.0,93489.1
2025-04-23,BTC,93691.08,93677.0,93740.92
2025-04-24,BTC,93980.47,93999.9,94021.96
2025-04-25,BTC,94638.68,94717.1,94708.79
2025-04-26,BTC,94628.0,94663.5,94666.64
2025-04-27,BTC,93749.3,93817.0,93780.57
2025-04-28,BTC,95011.18,94998.1,95042.57
2025-04-29,BTC,94256.82,94269.6,94271.09
2025-04-30,BTC,94172.0,94205.4,94182.54
2025-05-01,BTC,96489.91,96469.9,96524.98
2025-05-02,BTC,96887.14,96920.7,96929.81
2025-05-03,BTC,95856.42,95869.9,95861.33
2025-05-04,BTC,94277.62,94303.1,94272.55
2025-05-05,BTC,94733.68,94727.0,94733.99
2025-05-06,BTC,96834.02,96816.7,96839.17
2025-05-07,BTC,97030.5,97031.4,97058.32
2025-05-08,BTC,103261.6,103228.0,103253.49
2025-05-09,BTC,102971.99,102976.9,102986.96
2025-05-10,BTC,104809.53,104800.0,104821.19
2025-05-11,BTC,104118.0,104119.0,104137.62
2025-05-12,BTC,102791.32,102825.0,102800.21
2025-05-13,BTC,104103.72,104156.7,104131.06
2025-05-14,BTC,103507.82,103589.7,103545.38
2025-05-15,BTC,103763.71,103761.7,103786.43
2025-05-16,BTC,103463.9,103500.1,103500.03
2025-05-17,BTC,103126.65,103169.1,103161.07
2025-05-18,BTC,106454.26,106525.6,106473.46
2025-05-19,BTC,105573.74,105637.7,105616.18
2025-05-20,BTC,106849.99,106855.6,106883.24
2025-05-21,BTC,109643.99,109675.1,109699.54
2025-05-22,BTC,111696.21,111711.1,111722.53
2025-05-23,BTC,107318.3,107333.5,107329.61
2025-05-24,BTC,107761.91,107824.2,107794.01
2025-05-25,BTC,109004.19,109040.4,109048.68
2025-05-26,BTC,109434.79,109468.6,109464.32
2025-05-27,BTC,108938.17,109004.9,108978.46
2025-05-28,BTC,107781.78,107811.7,107819.29
2025-05-29,BTC,105589.75,105632.4,105572.58
2025-05-30,BTC,103985.48,104019.7,104033.26
2025-05-31,BTC,104591.88,104662.0,104645.87
2025-06-01,BTC,105642.93,105712.4,105697.94
2025-06-02,BTC,105857.99,105920.3,105904.94
2025-06-03,BTC,105376.89,105446.0,105447.82
2025-06-04,BTC,104696.86,104745.4,104753.38
2025-06-05,BTC,101508.68,101579.7,101570.2
2025-06-06,BTC,104288.44,104376.0,104397.99
2025-06-07,BTC,105552.15,105654.5,105619.02
2025-06-08,BTC,105734.0,105754.2,105784.4
2025-06-09,BTC,110263.02,110280.0,110301.15
2025-06-10,BTC,110274.39,110273.6,110300.24
2025-06-11,BTC,108645.12,108702.0,108669.37
2025-06-12,BTC,105671.73,105760.1,105721.05
2025-06-13,BTC,106066.59,106122.3,106118.7
2025-06-14,BTC,105414.64,105479.4,105465.42
2025-06-15,BTC,105594.01,105581.4,105599.25
2025-06-16,BTC,106794.53,106800.1,106853.38
2025-06-17,BTC,104551.17,104622.4,104590.44
2025-06-18,BTC,104886.78,104892.0,104915.6
2025-06-19,BTC,104658.59,104675.2,104671.9
2025-06-20,BTC,103297.99,103292.0,103317.8
2025-06-21,BTC,102120.01,102144.0,102160.03
2025-06-22,BTC,100963.87,100987.9,100996.87
2025-06-23,BTC,105333.93,105382.0,105419.39
2025-06-24,BTC,106083.0,106100.0,106141.0
2025-06-25,BTC,107340.58,107360.0,107400.22
2025-06-26,BTC,106947.06,106945.0,107029.64
2025-06-27,BTC,107047.59,107115.4,107113.38
