asset,date_utc,timestamp_utc,close_px,volume_base,source
USDT,2024-09-16,2024-09-16 00:00:00+00:00,0.99993,112176344.20844509,kraken
USDT,2024-09-17,2024-09-17 00:00:00+00:00,1.0001,135234974.10245082,kraken
USDT,2024-09-18,2024-09-18 00:00:00+00:00,1.00001,136218496.79670793,kraken
USDT,2024-09-19,2024-09-19 00:00:00+00:00,1.00017,180560637.88407624,kraken
USDT,2024-09-20,2024-09-20 00:00:00+00:00,1.0001,121471436.655079,kraken
USDT,2024-09-21,2024-09-21 00:00:00+00:00,1.00032,81941358.71636051,kraken
USDT,2024-09-22,2024-09-22 00:00:00+00:00,1.00016,67839023.20267715,kraken
USDT,2024-09-23,2024-09-23 00:00:00+00:00,1.0,140283025.5370676,kraken
USDT,2024-09-24,2024-09-24 00:00:00+00:00,1.0,89642229.19055207,kraken
USDT,2024-09-25,2024-09-25 00:00:00+00:00,0.99973,104417259.42479312,kraken
USDT,2024-09-26,2024-09-26 00:00:00+00:00,1.00019,154865635.89582467,kraken
USDT,2024-09-27,2024-09-27 00:00:00+00:00,1.00016,134510995.1947015,kraken
USDT,2024-09-28,2024-09-28 00:00:00+00:00,1.00011,33878138.81126599,kraken
USDT,2024-09-29,2024-09-29 00:00:00+00:00,1.00021,39294955.94085842,kraken
USDT,2024-09-30,2024-09-30 00:00:00+00:00,0.99973,123055409.23487924,kraken
USDT,2024-10-01,2024-10-01 00:00:00+00:00,0.9998,113710351.65304032,kraken
USDT,2024-10-02,2024-10-02 00:00:00+00:00,0.99982,110544717.92163104,kraken
USDT,2024-10-03,2024-10-03 00:00:00+00:00,0.99996,105603807.75860883,kraken
USDT,2024-10-04,2024-10-04 00:00:00+00:00,1.00007,107787626.51925091,kraken
USDT,2024-10-05,2024-10-05 00:00:00+00:00,1.00001,26483156.85124537,kraken
USDT,2024-10-06,2024-10-06 00:00:00+00:00,0.99991,35418208.49225933,kraken
USDT,2024-10-07,2024-10-07 00:00:00+00:00,0.99984,107739212.35441032,kraken
USDT,2024-10-08,2024-10-08 00:00:00+00:00,0.99947,127658137.12704971,kraken
USDT,2024-10-09,2024-10-09 00:00:00+00:00,0.99906,147606955.72848368,kraken
USDT,2024-10-10,2024-10-10 00:00:00+00:00,0.99923,106510493.47114024,kraken
USDT,2024-10-11,2024-10-11 00:00:00+00:00,0.9997,113833934.34904528,kraken
USDT,2024-10-12,2024-10-12 00:00:00+00:00,0.99979,36138029.02839663,kraken
USDT,2024-10-13,2024-10-13 00:00:00+00:00,0.99958,29097647.8837053,kraken
USDT,2024-10-14,2024-10-14 00:00:00+00:00,0.99956,114542270.42824124,kraken
USDT,2024-10-15,2024-10-15 00:00:00+00:00,0.99986,117162055.38651171,kraken
USDT,2024-10-16,2024-10-16 00:00:00+00:00,0.9998,127055142.291303,kraken
USDT,2024-10-17,2024-10-17 00:00:00+00:00,0.99967,93627466.58832796,kraken
USDT,2024-10-18,2024-10-18 00:00:00+00:00,0.99989,97295624.6135621,kraken
USDT,2024-10-19,2024-10-19 00:00:00+00:00,0.99979,27743360.90329652,kraken
USDT,2024-10-20,2024-10-20 00:00:00+00:00,0.99969,73833250.68692023,kraken
USDT,2024-10-21,2024-10-21 00:00:00+00:00,0.99949,162529834.46938947,kraken
USDT,2024-10-22,2024-10-22 00:00:00+00:00,0.99934,132837572.0002054,kraken
USDT,2024-10-23,2024-10-23 00:00:00+00:00,0.99894,134197967.75669032,kraken
